Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
108,0.9,0.017964,0.062187,0.150052,0.026899,0.063302,0.252327,0.02699,0.064486,0.030133,0.020248,0.064344,0.125051
109,0.908333,0.018219,0.062214,0.150068,0.026715,0.06328,0.252187,0.027123,0.064401,0.030396,0.020218,0.064426,0.125095
110,0.916667,0.018435,0.062162,0.150107,0.026553,0.063248,0.252284,0.02706,0.064496,0.030468,0.020426,0.064337,0.125079
111,0.925,0.018706,0.062027,0.150202,0.026559,0.063324,0.252874,0.027063,0.064443,0.029527,0.020504,0.06453,0.125285
112,0.933333,0.018752,0.062055,0.150264,0.02639,0.063365,0.253567,0.027164,0.064507,0.029228,0.020492,0.064546,0.124777
113,0.941667,0.018445,0.062012,0.150139,0.02596,0.063247,0.253506,0.027342,0.064528,0.029642,0.020452,0.064396,0.124931
114,0.95,0.018562,0.062076,0.15015,0.025603,0.063277,0.253097,0.027515,0.064362,0.03024,0.020205,0.064369,0.12508
115,0.958333,0.018931,0.062004,0.150255,0.02541,0.063258,0.253004,0.027529,0.064434,0.03052,0.020337,0.064385,0.125184
116,0.966667,0.019222,0.061875,0.150279,0.025264,0.063292,0.253181,0.027327,0.064581,0.030449,0.020637,0.064329,0.125298
117,0.975,0.019582,0.061812,0.150523,0.025201,0.063289,0.253994,0.027334,0.064446,0.029367,0.020678,0.064492,0.12531
118,0.983333,0.019465,0.06176,0.150412,0.025036,0.063298,0.254545,0.027393,0.064468,0.029337,0.020728,0.064373,0.124846
119,0.991667,0.019325,0.061666,0.150388,0.024738,0.063189,0.254118,0.027514,0.064489,0.029885,0.020638,0.064222,0.12512
120,1,0.01968,0.061724,0.150395,0.024604,0.063358,0.253662,0.027651,0.064426,0.03045,0.020546,0.064313,0.125273
121,1.008333,0.020042,0.061595,0.150494,0.024506,0.063299,0.253588,0.027542,0.064524,0.030691,0.020762,0.064221,0.125363
122,1.016667,0.020383,0.061508,0.150492,0.024435,0.063277,0.254016,0.027409,0.064593,0.030297,0.021094,0.064341,0.12555
123,1.025,0.020704,0.061448,0.150714,0.024327,0.063179,0.254939,0.027526,0.064366,0.029274,0.021028,0.064401,0.125272
124,1.033333,0.020435,0.061398,0.150515,0.024074,0.063155,0.255209,0.027653,0.064484,0.029499,0.02122,0.064212,0.125039
125,1.041667,0.02038,0.061414,0.150508,0.023712,0.063113,0.254476,0.027755,0.064442,0.030132,0.020981,0.06415,0.125293
126,1.05,0.020742,0.061477,0.150488,0.023555,0.063297,0.254093,0.027786,0.064436,0.030559,0.020927,0.064221,0.125423
127,1.058333,0.021009,0.061353,0.150542,0.023391,0.063286,0.254015,0.027622,0.064596,0.030745,0.021163,0.064071,0.125444
128,1.066667,0.021317,0.061291,0.150578,0.023247,0.063251,0.254661,0.027574,0.064531,0.029904,0.021319,0.064313,0.12564
129,1.075,0.021411,0.061262,0.150682,0.022965,0.063102,0.255602,0.027693,0.06439,0.029211,0.021223,0.064304,0.125091
130,1.083333,0.020957,0.061256,0.15052,0.022596,0.063009,0.25557,0.027791,0.064493,0.029584,0.021284,0.064063,0.125144
131,1.091667,0.021,0.061323,0.150515,0.022243,0.063086,0.254692,0.027905,0.064476,0.030286,0.020954,0.064183,0.125385
132,1.1,0.021345,0.061317,0.150534,0.021987,0.063265,0.254356,0.027843,0.064525,0.030658,0.020979,0.064199,0.125537
133,1.108333,0.021618,0.061182,0.150547,0.021731,0.063241,0.25439,0.027663,0.064682,0.030723,0.021252,0.064134,0.125581
134,1.116667,0.02196,0.061127,0.150642,0.021414,0.063172,0.255295,0.027728,0.064486,0.029562,0.021262,0.064373,0.125634
