Format Version,1.21,Take Name,circular_inextensible_tsample_0pt5s_dutycycle35_000,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-09 11.51.49.565 AM,Total Frames in Take,21975,Total Exported Frames,21975,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2599,Unlabeled:2599,Unlabeled:2599,Unlabeled:2604,Unlabeled:2604,Unlabeled:2604,Unlabeled:2626,Unlabeled:2626,Unlabeled:2626,Unlabeled:2637,Unlabeled:2637,Unlabeled:2637,Unlabeled:2638,Unlabeled:2638,Unlabeled:2638,Unlabeled:2641,Unlabeled:2641,Unlabeled:2641,Unlabeled:2627,Unlabeled:2627,Unlabeled:2627,Unlabeled:2644,Unlabeled:2644,Unlabeled:2644
,,"8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A54","8392B20CF49E3570A54","8392B20CF49E3570A54"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
69,0.575000,0.165929,0.075609,0.100278,0.176322,0.068684,0.264532,0.170286,0.075685,0.167132,0.169496,0.074703,0.151708,0.173714,0.072690,0.216007,0.168824,0.077471,0.051974,,,,,,
70,0.583333,0.165931,0.075610,0.100282,0.176323,0.068690,0.264533,0.170287,0.075698,0.167131,0.169495,0.074706,0.151708,0.173714,0.072689,0.216006,0.168823,0.077466,0.051971,,,,,,
71,0.591667,0.165930,0.075609,0.100277,0.176324,0.068687,0.264535,0.170285,0.075691,0.167125,0.169494,0.074699,0.151704,0.173714,0.072693,0.216010,0.168820,0.077472,0.051976,,,,,,
72,0.600000,0.165927,0.075609,0.100278,0.176320,0.068684,0.264534,0.170283,0.075688,0.167133,0.169497,0.074697,0.151708,0.173716,0.072693,0.216009,0.168823,0.077457,0.051968,,,,,,
73,0.608333,0.165930,0.075611,0.100281,0.176323,0.068685,0.264535,0.170286,0.075698,0.167129,0.169492,0.074700,0.151706,0.173712,0.072687,0.216005,0.168823,0.077472,0.051972,,,,,,
74,0.616667,0.165926,0.075608,0.100278,0.176324,0.068686,0.264534,0.170282,0.075688,0.167127,0.169494,0.074700,0.151704,0.173714,0.072687,0.216009,0.168825,0.077461,0.051969,,,,,,
75,0.625000,0.165930,0.075611,0.100277,0.176322,0.068687,0.264532,0.170282,0.075691,0.167132,0.169497,0.074701,0.151705,0.173711,0.072689,0.216006,0.168820,0.077471,0.051973,,,,,,
76,0.633333,0.165930,0.075611,0.100278,0.176322,0.068684,0.264530,0.170288,0.075687,0.167124,0.169498,0.074700,0.151703,0.173714,0.072692,0.216007,0.168829,0.077467,0.051973,,,,,,
77,0.641667,0.165928,0.075606,0.100273,0.176324,0.068690,0.264529,0.170284,0.075683,0.167122,0.169496,0.074700,0.151700,0.173716,0.072694,0.216004,0.168826,0.077463,0.051964,,,,,,
78,0.650000,0.165931,0.075608,0.100276,0.176322,0.068685,0.264534,0.170287,0.075693,0.167132,0.169496,0.074702,0.151705,0.173711,0.072687,0.216005,0.168824,0.077472,0.051973,,,,,,
79,0.658333,0.165928,0.075608,0.100276,0.176324,0.068685,0.264531,0.170284,0.075688,0.167133,0.169494,0.074701,0.151701,0.173715,0.072686,0.216005,0.168823,0.077468,0.051965,,,,,,
80,0.666667,0.165930,0.075613,0.100277,0.176325,0.068686,0.264533,0.170288,0.075684,0.167129,0.169495,0.074701,0.151707,0.173716,0.072690,0.216006,0.168821,0.077470,0.051971,,,,,,
81,0.675000,0.165929,0.075609,0.100280,0.176321,0.068688,0.264536,0.170283,0.075694,0.167130,0.169498,0.074701,0.151703,0.173712,0.072692,0.216010,0.168822,0.077468,0.051972,,,,,,
82,0.683333,0.165929,0.075609,0.100278,0.176326,0.068688,0.264533,0.170282,0.075692,0.167133,0.169498,0.074701,0.151708,0.173714,0.072688,0.216011,0.168824,0.077462,0.051970,,,,,,
83,0.691667,0.165932,0.075612,0.100281,0.176326,0.068691,0.264537,0.170287,0.075690,0.167138,0.169496,0.074702,0.151709,0.173715,0.072689,0.216003,0.168825,0.077458,0.051963,,,,,,
84,0.700000,0.165931,0.075604,0.100278,0.176329,0.068685,0.264527,0.170286,0.075686,0.167127,0.169498,0.074704,0.151709,0.173716,0.072689,0.216007,0.168826,0.077469,0.051969,,,,,,
85,0.708333,0.165930,0.075609,0.100273,0.176325,0.068686,0.264531,0.170285,0.075691,0.167129,0.169495,0.074698,0.151706,0.173714,0.072694,0.216008,0.168825,0.077467,0.051971,,,,,,
86,0.716667,0.165933,0.075610,0.100276,0.176324,0.068689,0.264532,0.170283,0.075690,0.167125,0.169497,0.074701,0.151700,0.173713,0.072690,0.216002,0.168824,0.077469,0.051963,,,,,,
87,0.725000,0.165929,0.075606,0.100277,0.176321,0.068685,0.264530,0.170283,0.075692,0.167131,0.169498,0.074705,0.151707,0.173715,0.072689,0.216008,0.168826,0.077461,0.051966,,,,,,
88,0.733333,0.165929,0.075610,0.100275,0.176322,0.068684,0.264531,0.170282,0.075692,0.167124,0.169494,0.074699,0.151705,0.173713,0.072691,0.216007,0.168821,0.077472,0.051961,,,,,,
89,0.741667,0.165928,0.075611,0.100276,0.176322,0.068685,0.264532,0.170283,0.075686,0.167126,0.169492,0.074700,0.151702,0.173714,0.072692,0.216005,0.168824,0.077472,0.051966,,,,,,
90,0.750000,0.165928,0.075607,0.100273,0.176321,0.068686,0.264535,0.170282,0.075683,0.167120,0.169496,0.074702,0.151701,0.173715,0.072688,0.216007,0.168824,0.077463,0.051966,,,,,,
91,0.758333,0.165930,0.075611,0.100281,0.176324,0.068688,0.264533,0.170285,0.075690,0.167129,0.169494,0.074702,0.151705,0.173712,0.072694,0.216004,0.168824,0.077470,0.051969,,,,,,
92,0.766667,0.165930,0.075612,0.100281,0.176324,0.068683,0.264536,0.170281,0.075699,0.167131,0.169494,0.074697,0.151703,0.173716,0.072692,0.216009,0.168825,0.077458,0.051971,,,,,,
93,0.775000,0.165932,0.075610,0.100276,0.176322,0.068687,0.264532,0.170286,0.075684,0.167131,0.169498,0.074702,0.151705,0.173715,0.072690,0.216006,0.168821,0.077473,0.051973,,,,,,
94,0.783333,0.165928,0.075605,0.100278,0.176322,0.068686,0.264535,0.170285,0.075688,0.167133,0.169494,0.074701,0.151708,0.173711,0.072691,0.216008,0.168823,0.077471,0.051975,,,,,,
95,0.791667,0.165928,0.075605,0.100279,0.176324,0.068691,0.264533,0.170286,0.075687,0.167132,0.169496,0.074704,0.151708,0.173716,0.072692,0.216005,0.168827,0.077470,0.051978,,,,,,
96,0.800000,0.165929,0.075610,0.100278,0.176324,0.068686,0.264535,0.170284,0.075693,0.167127,0.169495,0.074700,0.151703,0.173714,0.072690,0.216006,0.168822,0.077465,0.051976,,,,,,
97,0.808333,0.165930,0.075608,0.100275,0.176326,0.068685,0.264533,0.170282,0.075695,0.167122,0.169498,0.074701,0.151702,0.173717,0.072690,0.216006,0.168823,0.077457,0.051965,,,,,,
