Format Version,1.21,Take Name,circular_inextensible_tsample_0.5s,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-04 04.52.15.234 PM,Total Frames in Take,22369,Total Exported Frames,22369,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2377,Unlabeled:2377,Unlabeled:2377,Unlabeled:2398,Unlabeled:2398,Unlabeled:2398,Unlabeled:2403,Unlabeled:2403,Unlabeled:2403,Unlabeled:2408,Unlabeled:2408,Unlabeled:2408,Unlabeled:2411,Unlabeled:2411,Unlabeled:2411,Unlabeled:2413,Unlabeled:2413,Unlabeled:2413
,,"8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096D","8392B20CF49E357096D","8392B20CF49E357096D"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,0.408333,0.258400,0.065000,0.099092,0.266617,0.058652,0.261852,0.262545,0.058280,0.310432,0.266596,0.059068,0.198322,0.267066,0.059997,0.213682,0.260722,0.061838,0.147199
50,0.416667,0.258406,0.065004,0.099094,0.266622,0.058656,0.261852,0.262544,0.058285,0.310431,0.266596,0.059076,0.198324,0.267072,0.059993,0.213678,0.260725,0.061840,0.147200
51,0.425000,0.258402,0.065002,0.099095,0.266619,0.058654,0.261855,0.262546,0.058285,0.310433,0.266599,0.059070,0.198325,0.267071,0.059993,0.213676,0.260725,0.061837,0.147204
52,0.433333,0.258408,0.064999,0.099094,0.266622,0.058654,0.261858,0.262547,0.058278,0.310435,0.266601,0.059071,0.198323,0.267069,0.059991,0.213678,0.260725,0.061842,0.147202
53,0.441667,0.258405,0.065000,0.099095,0.266619,0.058653,0.261857,0.262545,0.058282,0.310434,0.266598,0.059073,0.198325,0.267070,0.059991,0.213677,0.260724,0.061841,0.147205
54,0.450000,0.258400,0.064998,0.099098,0.266615,0.058655,0.261858,0.262545,0.058281,0.310431,0.266599,0.059063,0.198321,0.267070,0.059990,0.213679,0.260722,0.061838,0.147201
55,0.458333,0.258399,0.065002,0.099093,0.266616,0.058655,0.261856,0.262543,0.058279,0.310433,0.266592,0.059070,0.198318,0.267068,0.059991,0.213677,0.260722,0.061843,0.147199
56,0.466667,0.258396,0.064999,0.099093,0.266613,0.058652,0.261852,0.262541,0.058279,0.310433,0.266589,0.059062,0.198319,0.267060,0.059990,0.213674,0.260718,0.061838,0.147199
57,0.475000,0.258398,0.065002,0.099091,0.266614,0.058653,0.261853,0.262541,0.058280,0.310430,0.266591,0.059062,0.198323,0.267063,0.059993,0.213675,0.260718,0.061838,0.147197
58,0.483333,0.258396,0.065000,0.099092,0.266609,0.058650,0.261855,0.262536,0.058280,0.310433,0.266588,0.059062,0.198321,0.267065,0.059998,0.213674,0.260715,0.061840,0.147196
59,0.491667,0.258397,0.064998,0.099093,0.266614,0.058652,0.261856,0.262542,0.058282,0.310435,0.266590,0.059064,0.198321,0.267058,0.059999,0.213677,0.260714,0.061837,0.147201
60,0.500000,0.258394,0.064998,0.099094,0.266611,0.058656,0.261854,0.262537,0.058276,0.310434,0.266593,0.059068,0.198321,0.267066,0.059989,0.213680,0.260716,0.061838,0.147202
61,0.508333,0.258401,0.065004,0.099100,0.266614,0.058652,0.261860,0.262540,0.058282,0.310435,0.266596,0.059066,0.198326,0.267063,0.059989,0.213680,0.260718,0.061842,0.147205
62,0.516667,0.258400,0.065004,0.099097,0.266615,0.058654,0.261861,0.262543,0.058281,0.310435,0.266593,0.059068,0.198323,0.267066,0.059993,0.213682,0.260720,0.061841,0.147202
63,0.525000,0.258402,0.065000,0.099096,0.266617,0.058656,0.261862,0.262541,0.058280,0.310437,0.266592,0.059070,0.198326,0.267063,0.059989,0.213686,0.260723,0.061841,0.147205
64,0.533333,0.258404,0.065002,0.099100,0.266618,0.058656,0.261858,0.262545,0.058284,0.310437,0.266596,0.059069,0.198323,0.267064,0.059989,0.213679,0.260724,0.061843,0.147204
65,0.541667,0.258401,0.065002,0.099095,0.266616,0.058654,0.261856,0.262544,0.058280,0.310433,0.266594,0.059063,0.198323,0.267067,0.059995,0.213679,0.260722,0.061835,0.147202
66,0.550000,0.258405,0.065006,0.099093,0.266621,0.058655,0.261854,0.262546,0.058281,0.310431,0.266597,0.059071,0.198322,0.267070,0.059992,0.213676,0.260727,0.061841,0.147199
67,0.558333,0.258403,0.065002,0.099089,0.266615,0.058652,0.261850,0.262541,0.058281,0.310428,0.266593,0.059068,0.198317,0.267064,0.059993,0.213675,0.260722,0.061838,0.147194
68,0.566667,0.258407,0.065000,0.099090,0.266620,0.058656,0.261848,0.262549,0.058285,0.310429,0.266599,0.059068,0.198316,0.267073,0.059996,0.213676,0.260728,0.061840,0.147195
69,0.575000,0.258410,0.065009,0.099090,0.266629,0.058663,0.261849,0.262552,0.058283,0.310427,0.266603,0.059068,0.198313,0.267077,0.059992,0.213667,0.260731,0.061841,0.147194
70,0.583333,0.258404,0.064997,0.099088,0.266616,0.058657,0.261852,0.262544,0.058281,0.310430,0.266594,0.059067,0.198314,0.267067,0.059992,0.213670,0.260722,0.061838,0.147190
71,0.591667,0.258397,0.065000,0.099078,0.266606,0.058646,0.261842,0.262533,0.058278,0.310418,0.266588,0.059068,0.198308,0.267061,0.059987,0.213667,0.260719,0.061833,0.147186
72,0.600000,0.258400,0.065001,0.099101,0.266612,0.058654,0.261861,0.262540,0.058279,0.310444,0.266589,0.059067,0.198324,0.267061,0.059993,0.213685,0.260720,0.061839,0.147204
73,0.608333,0.258411,0.065001,0.099098,0.266630,0.058660,0.261858,0.262551,0.058284,0.310438,0.266606,0.059060,0.198323,0.267080,0.059989,0.213683,0.260732,0.061840,0.147203
74,0.616667,0.258405,0.065002,0.099092,0.266618,0.058655,0.261855,0.262547,0.058285,0.310431,0.266602,0.059069,0.198323,0.267074,0.059988,0.213681,0.260726,0.061841,0.147196
75,0.625000,0.258404,0.065002,0.099089,0.266619,0.058646,0.261848,0.262545,0.058279,0.310429,0.266595,0.059070,0.198318,0.267067,0.059995,0.213679,0.260727,0.061841,0.147193
76,0.633333,0.258400,0.065000,0.099096,0.266610,0.058654,0.261854,0.262539,0.058287,0.310431,0.266595,0.059072,0.198331,0.267067,0.059997,0.213685,0.260721,0.061846,0.147201
77,0.641667,0.258407,0.064998,0.099091,0.266625,0.058656,0.261851,0.262545,0.058280,0.310428,0.266595,0.059062,0.198315,0.267068,0.059981,0.213671,0.260726,0.061838,0.147195
78,0.650000,0.258402,0.064998,0.099096,0.266620,0.058651,0.261857,0.262542,0.058281,0.310435,0.266602,0.059061,0.198319,0.267073,0.059985,0.213677,0.260724,0.061840,0.147201
79,0.658333,0.258399,0.064999,0.099077,0.266614,0.058654,0.261839,0.262541,0.058278,0.310418,0.266590,0.059068,0.198304,0.267064,0.059998,0.213661,0.260716,0.061835,0.147184
80,0.666667,0.258395,0.065009,0.099084,0.266610,0.058654,0.261851,0.262535,0.058287,0.310426,0.266588,0.059065,0.198310,0.267062,0.060007,0.213666,0.260714,0.061843,0.147190
81,0.675000,0.258396,0.064998,0.099084,0.266613,0.058650,0.261846,0.262538,0.058275,0.310425,0.266592,0.059060,0.198309,0.267061,0.059985,0.213658,0.260717,0.061836,0.147188
82,0.683333,0.258395,0.065003,0.099096,0.266616,0.058654,0.261855,0.262538,0.058284,0.310432,0.266591,0.059070,0.198316,0.267063,0.059994,0.213672,0.260717,0.061840,0.147198
83,0.691667,0.258395,0.064992,0.099094,0.266611,0.058650,0.261854,0.262537,0.058276,0.310438,0.266586,0.059067,0.198326,0.267061,0.059986,0.213677,0.260715,0.061834,0.147199
84,0.700000,0.258398,0.065003,0.099107,0.266613,0.058654,0.261863,0.262540,0.058284,0.310442,0.266592,0.059074,0.198333,0.267064,0.059999,0.213689,0.260716,0.061841,0.147211
85,0.708333,0.258398,0.064997,0.099105,0.266611,0.058653,0.261864,0.262537,0.058281,0.310449,0.266591,0.059068,0.198335,0.267062,0.059988,0.213690,0.260720,0.061838,0.147212
86,0.716667,0.258398,0.065000,0.099116,0.266616,0.058655,0.261878,0.262542,0.058286,0.310455,0.266591,0.059071,0.198345,0.267068,0.059992,0.213700,0.260720,0.061843,0.147222
87,0.725000,0.258400,0.065003,0.099106,0.266613,0.058649,0.261868,0.262539,0.058281,0.310450,0.266592,0.059074,0.198337,0.267064,0.059987,0.213692,0.260718,0.061842,0.147213
88,0.733333,0.258403,0.065008,0.099102,0.266615,0.058657,0.261861,0.262541,0.058287,0.310440,0.266592,0.059070,0.198332,0.267064,0.059991,0.213689,0.260720,0.061845,0.147209
89,0.741667,0.258401,0.065006,0.099092,0.266618,0.058660,0.261856,0.262545,0.058283,0.310435,0.266592,0.059073,0.198321,0.267070,0.059992,0.213681,0.260724,0.061840,0.147202
90,0.750000,0.258407,0.065001,0.099090,0.266620,0.058652,0.261855,0.262547,0.058285,0.310429,0.266600,0.059069,0.198317,0.267073,0.059991,0.213671,0.260726,0.061839,0.147192
91,0.758333,0.258406,0.064999,0.099086,0.266622,0.058656,0.261847,0.262550,0.058284,0.310426,0.266601,0.059071,0.198311,0.267070,0.059997,0.213668,0.260731,0.061841,0.147190
92,0.766667,0.258408,0.065004,0.099084,0.266619,0.058654,0.261849,0.262544,0.058283,0.310423,0.266599,0.059068,0.198309,0.267070,0.059991,0.213670,0.260724,0.061835,0.147192
93,0.775000,0.258407,0.065001,0.099085,0.266621,0.058653,0.261850,0.262548,0.058284,0.310428,0.266602,0.059070,0.198316,0.267072,0.059990,0.213668,0.260728,0.061839,0.147192
94,0.783333,0.258402,0.064998,0.099091,0.266614,0.058653,0.261855,0.262544,0.058279,0.310434,0.266597,0.059068,0.198324,0.267068,0.059992,0.213676,0.260722,0.061839,0.147199
95,0.791667,0.258404,0.065001,0.099097,0.266616,0.058654,0.261861,0.262542,0.058282,0.310435,0.266597,0.059076,0.198326,0.267067,0.059996,0.213680,0.260724,0.061840,0.147204
96,0.800000,0.258401,0.064998,0.099098,0.266617,0.058651,0.261862,0.262544,0.058281,0.310437,0.266601,0.059066,0.198324,0.267066,0.059980,0.213682,0.260720,0.061839,0.147204
97,0.808333,0.258402,0.065001,0.099101,0.266618,0.058655,0.261861,0.262541,0.058284,0.310440,0.266596,0.059070,0.198327,0.267065,0.059987,0.213683,0.260723,0.061843,0.147205
